,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Batchleads,https://www.linkedin.com/company/batchservices/?ref=getlatka.com,https://www.crunchbase.com/organization/batchservice?ref=getlatka.com,//batchleads.io/?ref=getlatka.com, (US),Jesse Burrell,,
1,Adapty,https://www.linkedin.com/company/adaptyapp/?ref=getlatka.com,https://www.crunchbase.com/organization/adapty-6702?ref=getlatka.com,//adapty.io/?ref=getlatka.com, (US),Vitaly Davydov,,
2,Sulekha,https://www.linkedin.com/company/sulekha.com?ref=getlatka.com,https://www.crunchbase.com/organization/sulekha-com?ref=getlatka.com,//sulekha.com/?ref=getlatka.com, (IN),Madan Mohan,https://www.facebook.com/Sulekha.comUS/?ref=getlatka.com,
3,Attivo,https://www.linkedin.com/company/137797?ref=getlatka.com,https://www.crunchbase.com/organization/the-attivo-group?ref=getlatka.com,//attivoconsulting.com/?ref=getlatka.com, (US),Len Reo,,
4,Constant Click,,https://www.crunchbase.com/organization/constantclick-com-llc?ref=getlatka.com,//constantclick.com/?ref=getlatka.com, (US),Jp Khoueiri,,
5,AI Partnerships Corp,https://www.linkedin.com/company/aipartnershipscorp/?ref=getlatka.com,,//aipartnershipscorp.com/?ref=getlatka.com, (CA),Tom Corr,,
6,Epicor Software Corporation,https://www.linkedin.com/company/epicor-software-corp/?ref=getlatka.com,https://www.crunchbase.com/organization/epicor?ref=getlatka.com,//epicor.com/?ref=getlatka.com, (US),Steve Murphy,https://www.facebook.com/epicor/?ref=getlatka.com,https://twitter.com/Epicor?ref=getlatka.com
7,MotoRefi,https://www.linkedin.com/company/motorefi?ref=getlatka.com,,//motorefi.com/?ref=getlatka.com,United States,Kevin Bennett,,
8,Facelift,https://www.linkedin.com/company/facelift-brand-building-technologies-gmbh/?ref=getlatka.com,https://www.crunchbase.com/organization/facelift?ref=getlatka.com,//facelift-bbt.com/?ref=getlatka.com,Germany,Daniel Augsten,,
9,WP-OK B.V.,https://www.linkedin.com/company/wp-ok?ref=getlatka.com,,//wp-ok.it/?ref=getlatka.com,Netherlands,Daniele Besana,,
10,10Web,https://www.linkedin.com/company/10web/?ref=getlatka.com,https://www.crunchbase.com/organization/10web-io?ref=getlatka.com,//10web.io/?ref=getlatka.com,United States,Tigran Nazaryan,,
11,events.com,https://www.linkedin.com/company/events.com/?ref=getlatka.com,https://www.crunchbase.com/organization/events-com?ref=getlatka.com,//events.com/?ref=getlatka.com, (US),Stephen Partridge,,
12,Vived Learning,https://www.linkedin.com/company/vivedlearning/?ref=getlatka.com,https://www.crunchbase.com/organization/vived-learning?ref=getlatka.com,//vivedlearning.com/?ref=getlatka.com, (US),Tom Nicknish,,
13,Noteaffect,https://www.linkedin.com/company/noteaffect/?ref=getlatka.com,https://www.crunchbase.com/organization/noteaffect?ref=getlatka.com,//noteaffect.com/?ref=getlatka.com, (US),Jay Tokosch,,
14,Air Traffic Control,https://www.linkedin.com/company/airtrafficcontrol/?ref=getlatka.com,https://www.crunchbase.com/organization/air-traffic-control?ref=getlatka.com,//airtrafficcontrol.io/?ref=getlatka.com, (US),Nick Zeckets,,
15,Social Media Directions Ltd.,https://www.linkedin.com/company/social-media-directions/?ref=getlatka.com,,//esemdee.com/?ref=getlatka.com, (GB),Andras Tasi,,
16,Premise Data,https://www.linkedin.com/company/premise-data-corporation/?ref=getlatka.com,https://www.crunchbase.com/organization/premise?ref=getlatka.com,//premise.com/?ref=getlatka.com, (US),Arthur Soames,,
17,Clik.ai,https://www.linkedin.com/company/cliktechnologies/?ref=getlatka.com,,//clik.ai/?ref=getlatka.com, (CA),Parag Goswami,,
18,Curaytor,https://www.linkedin.com/company/curaytor?ref=getlatka.com,https://www.crunchbase.com/organization/curaytor?ref=getlatka.com,//curaytor.com/?ref=getlatka.com, (US),Jimmy Mackin,,
19,Zety,https://www.linkedin.com/company/10650360/?ref=getlatka.com,https://www.crunchbase.com/organization/zety?ref=getlatka.com,//zety.com/?ref=getlatka.com,Puerto Rico,Kuba Koziej,,
