,name,Company linkedIn,website url,company location,company founder,Company Twitter,Company Crunchbase,Company facebook
0,Nue.io,http://www.linkedin.com/company/nue-io?ref=getlatka.com,//nue.io/?ref=getlatka.com,United States,Mark  Walker,,,
1,briq,https://www.linkedin.com/company/briqhq/?ref=getlatka.com,//briq.com/?ref=getlatka.com, (US),Ron Goldshmidt,,,
2,Arcads,https://www.linkedin.com/company/arcads-ai/?ref=getlatka.com,//arcads.ai/?ref=getlatka.com,France,,,,
3,BetterPic,,//betterpic.io/?ref=getlatka.com,Estonia,,,,
4,SubMagic,https://www.linkedin.com/company/submagic?ref=getlatka.com,//submagic.co/?ref=getlatka.com,France,David  Zitoun,,,
5,Zapmail,https://www.linkedin.com/company/zapmail-ai/?ref=getlatka.com,//zapmail.ai/?ref=getlatka.com, (US),Alan D'Souza,,,
6,MarsX.dev,https://www.linkedin.com/company/marsx?ref=getlatka.com,//marsx.dev/?ref=getlatka.com, (US),John Rush,https://twitter.com/marsxdev?ref=getlatka.com,,
7,Cal AI,https://www.linkedin.com/company/cal-ai-app/?ref=getlatka.com,//calai.app/?ref=getlatka.com, (US),Jake Castillo,,,
8,Capacity,https://www.linkedin.com/company/teamcapacity?ref=getlatka.com,//capacity.com/?ref=getlatka.com, (US),David Karandish,,https://www.crunchbase.com/organization/capacityai?ref=getlatka.com,
9,TripleDart,https://www.linkedin.com/company/tripledart-digital/about/?ref=getlatka.com,//tripledart.com/?ref=getlatka.com, (US),Shiyam Sunder,https://twitter.com/Tripledart_?ref=getlatka.com,,
10,Voxpopme,https://www.linkedin.com/company/voxpopme?ref=getlatka.com,//voxpopme.com/?ref=getlatka.com, (US),Andrew Barraclough,,https://www.crunchbase.com/organization/voxpopme?ref=getlatka.com,
11,Pendo,https://www.linkedin.com/company/pendo-io/?ref=getlatka.com,//pendo.io/?ref=getlatka.com, (US),Todd Olson,https://twitter.com/pendoio?ref=getlatka.com,https://www.crunchbase.com/organization/pendo-io?ref=getlatka.com,https://www.facebook.com/Pendoio/?ref=getlatka.com
12,Issuu,https://www.linkedin.com/company/issuu/?ref=getlatka.com,//issuu.com/?ref=getlatka.com, (US),,,https://www.crunchbase.com/organization/issuu?ref=getlatka.com,
13,Ninety.io,https://www.linkedin.com/company/ninety-io?ref=getlatka.com,//ninety.io/?ref=getlatka.com, (US),Tim Weerasiri,,https://www.crunchbase.com/organization/ninety-io-software-for-eos?ref=getlatka.com,
14,Reveleer,https://www.linkedin.com/company/reveleer/?ref=getlatka.com,//reveleer.com/?ref=getlatka.com, (US),,,https://www.crunchbase.com/organization/reveleer?ref=getlatka.com,
15,Proposify,https://www.linkedin.com/company/proposify/?ref=getlatka.com,//proposify.com/?ref=getlatka.com, (CA),Kyle Racki,,https://www.crunchbase.com/organization/proposify?ref=getlatka.com,
16,BrightEdge,https://www.linkedin.com/company/brightedge?ref=getlatka.com,//brightedge.com/?ref=getlatka.com, (US),Jim Yu,http://twitter.com/brightedge?ref=getlatka.com,https://www.crunchbase.com/organization/brightedge?ref=getlatka.com,https://www.facebook.com/seoplatform?ref=getlatka.com
17,Celigo,https://www.linkedin.com/company/celigo-inc?ref=getlatka.com,//celigo.com/?ref=getlatka.com, (US),Jan Arendtsz,https://twitter.com/celigoinc?ref=getlatka.com,https://www.crunchbase.com/organization/celigo?ref=getlatka.com,https://www.facebook.com/CeligoInc/?ref=getlatka.com
18,Netcore Cloud,https://www.linkedin.com/company/netcore-cloud/?ref=getlatka.com,//netcorecloud.com/?ref=getlatka.com, (IN),Rajesh Jain,https://twitter.com/netcore_cloud?ref=getlatka.com,https://www.crunchbase.com/organization/netcore-solutions?ref=getlatka.com,https://www.facebook.com/NetcoreCloud/?ref=getlatka.com
19,Hootsuite,https://ca.linkedin.com/company/hootsuite?ref=getlatka.com,//hootsuite.com/?ref=getlatka.com, (CA),Irina Novoselsky,https://twitter.com/hootsuite?ref=getlatka.com,https://www.crunchbase.com/organization/hootsuite?ref=getlatka.com,https://www.facebook.com/hootsuite?ref=getlatka.com
